;Classe;Descrição;Sentido;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Total
0;A;Ônibus/Cam de 2 eixos;C;242;174;106;210;170;153;192;264;173;152;228;216;248;244;241;185;167;220;255;305;299;313;264;138;249;303;307;292;275;174;150;6909
1;A;Ônibus/Cam de 2 eixos;D;289;203;168;320;335;324;383;356;227;252;359;325;369;378;351;241;219;456;335;417;409;368;326;272;131;367;345;381;309;228;79;9522
2;A;Ônibus/Cam de 2 eixos;Total;531;377;274;530;505;477;575;620;400;404;587;541;617;622;592;426;386;676;590;722;708;681;590;410;380;670;652;673;584;402;229;16431
3;B;Ônibus/Cam de 3 eixos;C;119;90;26;100;101;102;93;132;91;52;120;98;127;118;108;107;60;109;146;127;132;144;132;57;51;143;146;150;109;74;63;3227
4;B;Ônibus/Cam de 3 eixos;D;148;109;75;200;189;205;229;188;135;65;220;212;194;211;195;118;57;267;202;244;218;174;187;27;37;251;231;224;190;82;22;5106
5;B;Ônibus/Cam de 3 eixos;Total;267;199;101;300;290;307;322;320;226;117;340;310;321;329;303;225;117;376;348;371;350;318;319;84;88;394;377;374;299;156;85;8333
6;C;Caminhão de 4 eixos;C;15;9;8;11;16;9;14;12;14;7;12;5;21;16;18;6;7;7;23;11;9;16;17;4;2;9;6;12;14;9;3;342
7;C;Caminhão de 4 eixos;D;37;34;10;41;47;46;40;35;25;12;29;34;34;27;34;21;11;46;26;33;33;32;21;6;3;36;40;38;37;22;4;894
8;C;Caminhão de 4 eixos;Total;52;43;18;52;63;55;54;47;39;19;41;39;55;43;52;27;18;53;49;44;42;48;38;10;5;45;46;50;51;31;7;1236
9;D;Caminhão de 5 eixos;C;12;5;1;4;8;5;5;7;7;2;2;9;8;7;5;7;5;3;12;7;8;5;7;4;2;6;8;8;5;5;3;182
10;D;Caminhão de 5 eixos;D;15;20;11;14;23;20;18;20;18;6;13;23;20;17;15;22;9;21;8;20;14;24;10;8;2;14;13;16;21;13;4;472
11;D;Caminhão de 5 eixos;Total;27;25;12;18;31;25;23;27;25;8;15;32;28;24;20;29;14;24;20;27;22;29;17;12;4;20;21;24;26;18;7;654
12;E;Caminhão de 6 eixos;C;9;6;8;9;10;3;6;7;4;8;7;7;6;9;6;5;11;10;14;12;8;5;4;2;3;6;4;9;7;3;1;209
13;E;Caminhão de 6 eixos;D;38;34;11;38;31;50;35;41;26;15;30;33;37;61;27;31;27;32;35;34;42;34;23;10;11;38;31;37;26;15;3;936
14;E;Caminhão de 6 eixos;Total;47;40;19;47;41;53;41;48;30;23;37;40;43;70;33;36;38;42;49;46;50;39;27;12;14;44;35;46;33;18;4;1145
15;F;Caminhão de 7 eixos;C;3;2;5;6;5;2;7;4;7;3;6;2;9;5;2;0;4;4;5;7;8;6;2;1;2;2;4;3;8;2;2;128
16;F;Caminhão de 7 eixos;D;10;7;2;11;8;10;11;15;11;7;6;13;11;5;22;2;0;9;11;10;8;5;5;1;3;9;3;6;11;7;1;240
17;F;Caminhão de 7 eixos;Total;13;9;7;17;13;12;18;19;18;10;12;15;20;10;24;2;4;13;16;17;16;11;7;2;5;11;7;9;19;9;3;368
18;G;Caminhão de 8 eixos;C;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;5
19;G;Caminhão de 8 eixos;D;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3
20;G;Caminhão de 8 eixos;Total;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;1;0;8
21;H;Caminhão de 9 eixos;C;7;13;5;3;9;5;6;9;14;9;4;3;5;16;7;8;9;7;13;14;7;8;5;3;2;1;2;2;7;8;5;216
22;H;Caminhão de 9 eixos;D;9;14;3;1;3;10;12;10;5;3;2;6;8;9;6;5;2;5;3;11;5;2;2;1;0;1;5;2;5;5;0;155
23;H;Caminhão de 9 eixos;Total;16;27;8;4;12;15;18;19;19;12;6;9;13;25;13;13;11;12;16;25;12;10;7;4;2;2;7;4;12;13;5;371
24;I;Passeio;C;2420;2355;3071;2171;1989;2107;2162;2546;2324;3658;2325;2053;2163;2361;2610;2322;3610;2314;2675;2518;2526;2752;2897;2443;4654;3256;2790;2923;3447;3324;2340;83106
25;I;Passeio;D;2660;3276;2654;2300;2097;2144;2289;2772;3290;3177;2399;2168;2225;2229;2771;3277;3123;2686;2416;2795;2872;3989;5364;3540;2891;2648;2686;2795;4108;5204;3188;92033
26;I;Passeio;Total;5080;5631;5725;4471;4086;4251;4451;5318;5614;6835;4724;4221;4388;4590;5381;5599;6733;5000;5091;5313;5398;6741;8261;5983;7545;5904;5476;5718;7555;8528;5528;175139
27;J;Moto;C;502;473;650;539;450;471;455;496;515;763;572;490;491;498;487;493;699;616;470;439;475;505;512;497;860;685;495;517;629;632;542;16918
28;J;Moto;D;737;785;618;498;485;481;450;637;838;624;475;479;486;475;663;789;593;516;450;499;440;745;960;720;507;494;484;509;754;1076;824;19091
29;J;Moto;Total;1239;1258;1268;1037;935;952;905;1133;1353;1387;1047;969;977;973;1150;1282;1292;1132;920;938;915;1250;1472;1217;1367;1179;979;1026;1383;1708;1366;36009
30;L;Outros;C;114;93;81;120;80;94;103;99;121;125;122;98;119;105;99;89;105;103;112;102;130;137;120;73;125;157;124;151;125;94;105;3425
31;L;Outros;D;129;101;81;121;102;137;121;132;116;117;123;134;135;135;131;114;112;160;116;152;141;146;119;83;58;116;121;127;144;130;60;3714
32;L;Outros;Total;243;194;162;241;182;231;224;231;237;242;245;232;254;240;230;203;217;263;228;254;271;283;239;156;183;273;245;278;269;224;165;7139
33;T O T A L;T O T A L;C;3443;3221;3961;3173;2838;2951;3043;3576;3270;4780;3398;2981;3197;3379;3583;3222;4677;3393;3725;3543;3602;3891;3960;3222;5950;4568;3887;4067;4626;4326;3214;114667
34;T O T A L;T O T A L;D;4072;4583;3633;3545;3320;3427;3588;4206;4691;4278;3656;3427;3519;3547;4215;4620;4153;4199;3602;4216;4182;5519;7017;4668;3643;3974;3959;4135;5605;6782;4185;132166
35;T O T A L;T O T A L;Total;7515;7804;7594;6718;6158;6378;6631;7782;7961;9058;7054;6408;6716;6926;7798;7842;8830;7592;7327;7759;7784;9410;10977;7890;9593;8542;7846;8202;10231;11108;7399;246833
