;Classe;Descrição;Sentido;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Total
19;G;Caminhão de 8 eixos;D;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;4
20;G;Caminhão de 8 eixos;Total;0;1;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;11
21;H;Caminhão de 9 eixos;C;0;2;0;3;0;2;2;1;1;0;3;2;5;2;2;4;7;2;4;1;2;4;1;1;0;3;3;5;4;4;0;70
22;H;Caminhão de 9 eixos;D;14;5;4;5;7;7;9;10;9;15;5;15;7;15;10;12;3;2;14;5;11;9;10;2;0;8;8;6;11;7;2;247
23;H;Caminhão de 9 eixos;Total;14;7;4;8;7;9;11;11;10;15;8;17;12;17;12;16;10;4;18;6;13;13;11;3;0;11;11;11;15;11;2;317
24;I;Passeio;C;1933;2220;2250;3373;2176;1758;1977;2131;2332;2223;3431;2247;1975;2184;2197;2543;2350;3735;2532;2104;2254;2489;2903;2445;4280;3561;2523;2726;2812;3220;2585;79469
25;I;Passeio;D;1974;2589;3180;2559;2216;2027;2056;2103;2669;3047;2763;2348;2272;2191;2242;2679;3329;3146;2337;2257;2465;2892;4486;4682;2682;2560;2475;2517;2921;4593;4325;86582
26;I;Passeio;Total;3907;4809;5430;5932;4392;3785;4033;4234;5001;5270;6194;4595;4247;4375;4439;5222;5679;6881;4869;4361;4719;5381;7389;7127;6962;6121;4998;5243;5733;7813;6910;166051
27;J;Moto;C;469;498;605;702;705;447;444;463;512;543;674;742;501;453;452;481;649;681;705;485;454;456;571;555;790;815;499;491;493;581;607;17523
28;J;Moto;D;355;564;642;504;367;339;378;351;497;623;452;410;406;360;328;492;751;434;350;365;353;378;725;799;434;385;374;391;418;718;907;14850
29;J;Moto;Total;824;1062;1247;1206;1072;786;822;814;1009;1166;1126;1152;907;813;780;973;1400;1115;1055;850;807;834;1296;1354;1224;1200;873;882;911;1299;1514;32373
30;L;Outros;C;264;249;212;202;237;256;263;257;307;228;223;306;229;260;253;304;215;247;273;215;269;248;254;163;162;205;217;235;262;243;121;7379
31;L;Outros;D;126;150;107;97;109;102;111;138;123;110;98;135;120;124;131;147;134;148;111;107;114;125;134;135;86;98;114;98;122;130;87;3671
32;L;Outros;Total;390;399;319;299;346;358;374;395;430;338;321;441;349;384;384;451;349;395;384;322;383;373;388;298;248;303;331;333;384;373;208;11050
33;T O T A L;T O T A L;C;3093;3495;3396;4554;3590;2922;3213;3353;3633;3334;4673;3815;3212;3443;3460;3814;3574;5076;3982;3276;3533;3710;4288;3458;5587;5010;3721;3964;4090;4535;3530;118334
34;T O T A L;T O T A L;D;3068;3882;4319;3409;3362;3116;3184;3306;3960;4222;3616;3609;3450;3346;3435;4038;4662;4097;3551;3388;3596;4098;6028;6099;3387;3698;3604;3624;4167;5978;5564;122863
35;T O T A L;T O T A L;Total;6161;7377;7715;7963;6952;6038;6397;6659;7593;7556;8289;7424;6662;6789;6895;7852;8236;9173;7533;6664;7129;7808;10316;9557;8974;8708;7325;7588;8257;10513;9094;241197
