;Classe;Descrição;Sentido;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Total
0;A;Ônibus/Cam de 2 eixos;C;273;332;219;189;302;321;343;335;336;208;250;341;339;377;386;339;232;293;368;328;381;359;371;211;280;295;327;321;336;321;166;9479
1;A;Ônibus/Cam de 2 eixos;D;337;302;206;169;350;359;350;411;364;242;213;401;352;382;392;376;268;255;377;374;369;398;359;339;121;349;343;331;362;313;153;9917
2;A;Ônibus/Cam de 2 eixos;Total;610;634;425;358;652;680;693;746;700;450;463;742;691;759;778;715;500;548;745;702;750;757;730;550;401;644;670;652;698;634;319;19396
3;B;Ônibus/Cam de 3 eixos;C;110;130;79;54;111;95;144;117;110;98;64;120;114;112;127;114;88;87;75;99;129;118;147;60;62;99;109;149;147;121;40;3229
4;B;Ônibus/Cam de 3 eixos;D;166;176;101;51;228;202;191;205;188;110;56;228;206;197;237;215;117;76;282;191;207;196;235;95;37;224;199;209;237;156;56;5274
5;B;Ônibus/Cam de 3 eixos;Total;276;306;180;105;339;297;335;322;298;208;120;348;320;309;364;329;205;163;357;290;336;314;382;155;99;323;308;358;384;277;96;8503
6;C;Caminhão de 4 eixos;C;23;28;20;9;29;18;17;27;19;21;18;26;20;18;23;8;23;11;9;20;24;23;19;13;7;16;20;20;20;30;8;587
7;C;Caminhão de 4 eixos;D;28;48;24;2;35;29;32;35;58;27;12;30;38;28;29;34;22;9;34;32;25;46;26;13;9;25;30;28;39;21;13;861
8;C;Caminhão de 4 eixos;Total;51;76;44;11;64;47;49;62;77;48;30;56;58;46;52;42;45;20;43;52;49;69;45;26;16;41;50;48;59;51;21;1448
9;D;Caminhão de 5 eixos;C;10;13;3;9;11;8;10;11;10;9;1;14;12;13;8;7;4;5;6;15;11;6;6;7;2;4;12;9;10;8;2;256
10;D;Caminhão de 5 eixos;D;14;9;14;9;13;13;14;12;16;19;3;20;15;14;22;27;13;8;13;22;16;19;15;12;8;11;19;12;16;8;7;433
11;D;Caminhão de 5 eixos;Total;24;22;17;18;24;21;24;23;26;28;4;34;27;27;30;34;17;13;19;37;27;25;21;19;10;15;31;21;26;16;9;689
12;E;Caminhão de 6 eixos;C;8;17;7;10;12;15;8;6;5;3;7;14;11;15;6;11;4;9;9;3;5;6;12;1;3;8;10;7;5;5;1;243
13;E;Caminhão de 6 eixos;D;40;32;28;13;25;28;27;24;29;26;10;14;26;26;28;37;22;18;22;23;27;24;30;16;9;32;32;24;28;21;10;751
14;E;Caminhão de 6 eixos;Total;48;49;35;23;37;43;35;30;34;29;17;28;37;41;34;48;26;27;31;26;32;30;42;17;12;40;42;31;33;26;11;994
15;F;Caminhão de 7 eixos;C;3;5;1;3;7;2;5;3;1;1;2;3;6;8;5;3;2;5;1;6;4;1;4;1;1;4;1;1;1;2;0;92
16;F;Caminhão de 7 eixos;D;14;7;13;0;12;10;16;17;7;3;4;7;8;9;16;19;3;1;11;12;9;10;8;6;1;6;10;8;12;11;3;273
17;F;Caminhão de 7 eixos;Total;17;12;14;3;19;12;21;20;8;4;6;10;14;17;21;22;5;6;12;18;13;11;12;7;2;10;11;9;13;13;3;365
18;G;Caminhão de 8 eixos;C;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;7
