;Classe;Descrição;Sentido;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Total
21;H;Caminhão de 9 eixos;C;8;12;21;17;7;19;9;5;6;8;13;19;15;14;10;7;24;24;22;19;15;11;15;8;7;6;14;14;18;5;7;399
22;H;Caminhão de 9 eixos;D;8;2;1;6;5;3;1;5;1;2;7;3;7;5;1;3;2;4;6;14;10;1;4;12;12;12;7;16;12;10;6;188
23;H;Caminhão de 9 eixos;Total;16;14;22;23;12;22;10;10;7;10;20;22;22;19;11;10;26;28;28;33;25;12;19;20;19;18;21;30;30;15;13;587
24;I;Passeio;C;2167;3228;2236;1859;2079;2166;2394;2389;3166;2329;1931;2090;2219;2566;2413;3147;2247;2050;2338;2459;2653;2820;3248;2449;3349;3481;2720;3036;3064;3152;2402;79847
25;I;Passeio;D;3099;2610;2211;1971;2090;2163;2790;3385;3003;2281;2094;2104;2153;2822;3216;2948;2324;2184;2428;2581;3400;5064;3972;3594;2608;2616;2602;3531;5012;3938;3291;90085
26;I;Passeio;Total;5266;5838;4447;3830;4169;4329;5184;5774;6169;4610;4025;4194;4372;5388;5629;6095;4571;4234;4766;5040;6053;7884;7220;6043;5957;6097;5322;6567;8076;7090;5693;169932
27;J;Moto;C;539;646;662;459;472;463;521;522;636;608;441;481;505;465;512;648;541;459;440;483;511;568;476;572;632;721;510;548;579;658;557;16835
28;J;Moto;D;824;613;490;464;475;499;745;872;623;474;447;494;520;568;774;625;417;463;506;493;688;935;547;828;502;492;495;670;971;902;823;19239
29;J;Moto;Total;1363;1259;1152;923;947;962;1266;1394;1259;1082;888;975;1025;1033;1286;1273;958;922;946;976;1199;1503;1023;1400;1134;1213;1005;1218;1550;1560;1380;36074
30;L;Outros;C;82;99;73;73;97;73;111;90;109;75;87;87;92;99;89;104;84;86;103;104;109;97;66;74;108;148;108;116;116;83;71;2913
31;L;Outros;D;111;82;117;107;127;143;154;128;100;133;117;134;132;142;131;98;174;137;118;131;160;168;95;135;61;134;132;147;131;72;84;3835
32;L;Outros;Total;193;181;190;180;224;216;265;218;209;208;204;221;224;241;220;202;258;223;221;235;269;265;161;209;169;282;240;263;247;155;155;6748
33;T O T A L;T O T A L;C;3100;4290;3300;2780;3075;3125;3471;3388;4226;3379;2798;3101;3257;3655;3368;4212;3294;3041;3365;3532;3772;3901;4170;3379;4445;4868;3779;4163;4234;4203;3218;111889
34;T O T A L;T O T A L;D;4410;3563;3404;3125;3266;3402;4272;4831;4059;3490;3210;3292;3511;4134;4528;4017;3483;3379;3641;3899;4844;6661;4901;5039;3384;3865;3862;4922;6548;5125;4436;128503
35;T O T A L;T O T A L;Total;7510;7853;6704;5905;6341;6527;7743;8219;8285;6869;6008;6393;6768;7789;7896;8229;6777;6420;7006;7431;8616;10562;9071;8418;7829;8733;7641;9085;10782;9328;7654;240392
