;Classe;Descrição;Sentido;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Total
0;A;Ônibus/Cam de 2 eixos;C;186;203;184;211;243;244;267;244;197;219;181;242;258;312;210;199;232;256;289;279;292;255;219;175;264;325;284;281;282;191;119;7343
1;A;Ônibus/Cam de 2 eixos;D;196;182;335;304;295;348;336;255;246;352;272;288;371;332;243;230;347;315;328;361;342;301;172;338;148;343;366;317;238;143;153;8797
2;A;Ônibus/Cam de 2 eixos;Total;382;385;519;515;538;592;603;499;443;571;453;530;629;644;453;429;579;571;617;640;634;556;391;513;412;668;650;598;520;334;272;16140
3;B;Ônibus/Cam de 3 eixos;C;89;79;82;109;132;110;131;109;88;94;104;132;127;144;107;84;122;110;126;138;141;127;113;74;74;149;112;142;145;93;43;3430
4;B;Ônibus/Cam de 3 eixos;D;100;44;163;178;177;167;155;119;62;172;177;163;201;150;101;70;145;156;148;188;165;135;81;92;31;190;175;146;121;35;48;4055
5;B;Ônibus/Cam de 3 eixos;Total;189;123;245;287;309;277;286;228;150;266;281;295;328;294;208;154;267;266;274;326;306;262;194;166;105;339;287;288;266;128;91;7485
6;C;Caminhão de 4 eixos;C;19;9;13;13;20;10;15;9;7;14;14;19;14;24;9;10;17;15;15;17;15;9;10;10;7;13;11;11;14;11;9;403
7;C;Caminhão de 4 eixos;D;22;5;44;31;34;34;30;22;8;34;34;30;44;42;23;16;40;53;35;56;29;25;6;17;4;33;33;37;24;8;14;867
8;C;Caminhão de 4 eixos;Total;41;14;57;44;54;44;45;31;15;48;48;49;58;66;32;26;57;68;50;73;44;34;16;27;11;46;44;48;38;19;23;1270
9;D;Caminhão de 5 eixos;C;5;1;7;17;7;11;10;9;7;11;9;15;9;11;4;2;7;13;14;9;12;6;2;6;3;6;9;5;9;4;5;245
10;D;Caminhão de 5 eixos;D;21;6;10;15;17;8;12;14;2;15;19;27;19;24;9;4;7;22;20;19;17;11;6;5;4;12;17;20;10;4;2;398
11;D;Caminhão de 5 eixos;Total;26;7;17;32;24;19;22;23;9;26;28;42;28;35;13;6;14;35;34;28;29;17;8;11;7;18;26;25;19;8;7;643
12;E;Caminhão de 6 eixos;C;2;12;18;11;17;25;10;9;8;16;14;8;9;12;9;7;16;17;14;18;16;4;16;7;1;13;6;6;3;4;2;330
13;E;Caminhão de 6 eixos;D;22;14;25;38;41;28;42;21;10;17;33;35;50;37;24;14;18;30;36;47;26;16;13;12;11;25;28;30;25;11;10;789
14;E;Caminhão de 6 eixos;Total;24;26;43;49;58;53;52;30;18;33;47;43;59;49;33;21;34;47;50;65;42;20;29;19;12;38;34;36;28;15;12;1119
15;F;Caminhão de 7 eixos;C;3;0;4;11;1;4;3;2;2;5;3;8;9;8;5;4;4;11;4;6;7;4;5;4;0;5;5;4;4;2;3;140
16;F;Caminhão de 7 eixos;D;7;5;8;11;5;9;7;10;4;10;10;14;14;12;6;9;9;15;16;8;7;5;5;6;3;8;7;7;4;2;5;248
17;F;Caminhão de 7 eixos;Total;10;5;12;22;6;13;10;12;6;15;13;22;23;20;11;13;13;26;20;14;14;9;10;10;3;13;12;11;8;4;8;388
18;G;Caminhão de 8 eixos;C;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;4
19;G;Caminhão de 8 eixos;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2
20;G;Caminhão de 8 eixos;Total;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;6
