;Classe;Descrição;Sentido;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Total
0;A;Ônibus/Cam de 2 eixos;C;345;347;391;255;206;286;272;363;343;416;192;210;296;335;404;381;405;254;215;300;328;424;440;284;121;145;303;322;375;364;249;9571
1;A;Ônibus/Cam de 2 eixos;D;271;305;286;216;158;358;270;320;316;290;168;165;339;310;318;319;273;217;179;306;309;345;348;228;57;128;336;283;293;333;156;8200
2;A;Ônibus/Cam de 2 eixos;Total;616;652;677;471;364;644;542;683;659;706;360;375;635;645;722;700;678;471;394;606;637;769;788;512;178;273;639;605;668;697;405;17771
3;B;Ônibus/Cam de 3 eixos;C;182;172;167;102;70;156;135;188;155;164;100;69;155;205;196;154;220;128;84;190;245;262;249;101;24;48;152;191;240;184;88;4776
4;B;Ônibus/Cam de 3 eixos;D;152;175;143;95;33;176;129;159;173;161;67;39;167;203;137;188;183;87;47;217;215;209;245;89;17;35;208;199;176;159;70;4353
5;B;Ônibus/Cam de 3 eixos;Total;334;347;310;197;103;332;264;347;328;325;167;108;322;408;333;342;403;215;131;407;460;471;494;190;41;83;360;390;416;343;158;9129
6;C;Caminhão de 4 eixos;C;23;34;35;25;12;41;32;29;25;36;19;12;29;37;37;26;31;27;13;34;28;38;43;30;8;9;33;33;33;39;14;865
7;C;Caminhão de 4 eixos;D;30;21;32;16;11;33;28;29;25;34;14;6;29;33;19;29;27;21;3;29;25;27;28;18;11;13;24;28;38;33;11;725
8;C;Caminhão de 4 eixos;Total;53;55;67;41;23;74;60;58;50;70;33;18;58;70;56;55;58;48;16;63;53;65;71;48;19;22;57;61;71;72;25;1590
9;D;Caminhão de 5 eixos;C;25;19;14;18;12;26;17;19;14;21;11;9;15;21;20;31;30;16;13;19;18;31;16;15;3;1;16;17;22;16;12;537
10;D;Caminhão de 5 eixos;D;14;22;16;13;7;16;9;11;13;13;9;3;7;14;11;6;9;8;6;9;25;19;18;15;1;7;19;14;15;13;4;366
11;D;Caminhão de 5 eixos;Total;39;41;30;31;19;42;26;30;27;34;20;12;22;35;31;37;39;24;19;28;43;50;34;30;4;8;35;31;37;29;16;903
12;E;Caminhão de 6 eixos;C;15;22;13;11;29;23;28;22;27;24;14;23;24;32;24;23;18;10;24;28;21;19;19;19;11;13;20;18;20;15;11;620
13;E;Caminhão de 6 eixos;D;18;19;18;20;2;23;11;19;20;28;9;8;22;31;23;25;25;26;16;19;25;24;19;15;4;22;25;17;21;18;15;587
14;E;Caminhão de 6 eixos;Total;33;41;31;31;31;46;39;41;47;52;23;31;46;63;47;48;43;36;40;47;46;43;38;34;15;35;45;35;41;33;26;1207
15;F;Caminhão de 7 eixos;C;7;11;8;9;5;8;10;4;7;5;6;7;3;7;7;6;8;0;3;14;6;4;6;5;1;4;6;3;4;3;1;178
16;F;Caminhão de 7 eixos;D;10;7;6;8;1;11;7;14;5;11;2;6;5;14;17;7;10;6;2;9;6;11;9;3;1;3;3;5;10;4;1;214
17;F;Caminhão de 7 eixos;Total;17;18;14;17;6;19;17;18;12;16;8;13;8;21;24;13;18;6;5;23;12;15;15;8;2;7;9;8;14;7;2;392
18;G;Caminhão de 8 eixos;C;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;2;0;1;0;2;0;0;0;1;0;0;0;0;11
19;G;Caminhão de 8 eixos;D;0;0;1;0;0;0;1;0;1;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;8
20;G;Caminhão de 8 eixos;Total;0;0;1;1;0;0;2;0;1;0;0;0;3;0;1;1;0;1;2;0;1;1;2;0;0;0;2;0;0;0;0;19
21;H;Caminhão de 9 eixos;C;22;27;21;28;37;35;22;38;24;27;23;39;53;38;40;34;43;18;30;29;18;30;45;31;10;16;31;20;16;34;19;898
22;H;Caminhão de 9 eixos;D;2;5;2;2;1;2;5;5;4;2;1;0;1;2;2;7;1;3;0;4;2;3;1;0;1;3;2;2;2;2;1;70
23;H;Caminhão de 9 eixos;Total;24;32;23;30;38;37;27;43;28;29;24;39;54;40;42;41;44;21;30;33;20;33;46;31;11;19;33;22;18;36;20;968
24;I;Passeio;C;1779;1944;2317;2056;3653;2304;1855;1856;2049;2476;1667;3427;2325;1873;1976;2076;2379;2167;3467;2499;2056;2234;2708;2445;2218;5213;3172;2349;2553;2892;2460;76445
25;I;Passeio;D;1874;1917;2733;3268;2453;2157;1934;1923;1935;2943;2345;2488;2180;1963;2046;2096;2815;2962;2627;2393;2272;2495;3805;5434;2885;2385;2229;2318;2513;4188;5719;83295
26;I;Passeio;Total;3653;3861;5050;5324;6106;4461;3789;3779;3984;5419;4012;5915;4505;3836;4022;4172;5194;5129;6094;4892;4328;4729;6513;7879;5103;7598;5401;4667;5066;7080;8179;159740
27;J;Moto;C;297;308;287;303;502;479;305;277;296;316;265;450;461;282;265;280;306;269;470;419;248;282;290;304;334;575;490;248;264;281;276;10429
28;J;Moto;D;262;283;394;505;326;283;250;230;262;395;420;343;289;253;239;273;378;437;325;251;255;296;435;821;429;245;290;268;313;512;904;11166
29;J;Moto;Total;559;591;681;808;828;762;555;507;558;711;685;793;750;535;504;553;684;706;795;670;503;578;725;1125;763;820;780;516;577;793;1180;21595
30;L;Outros;C;34;29;37;31;34;30;27;37;28;28;21;33;39;27;33;27;25;34;40;37;26;44;37;22;14;48;35;27;28;28;30;970
31;L;Outros;D;52;39;51;38;34;41;40;36;40;50;29;34;43;45;57;37;50;34;40;37;45;49;51;58;20;25;47;44;32;44;49;1291
32;L;Outros;Total;86;68;88;69;68;71;67;73;68;78;50;67;82;72;90;64;75;68;80;74;71;93;88;80;34;73;82;71;60;72;79;2261
33;T O T A L;T O T A L;C;2729;2913;3290;2839;4560;3388;2704;2833;2968;3513;2318;4279;3401;2857;3003;3039;3465;2923;4361;3569;2995;3368;3855;3256;2744;6072;4259;3228;3555;3856;3160;105300
34;T O T A L;T O T A L;D;2685;2793;3682;4181;3026;3100;2684;2746;2794;3927;3064;3092;3084;2868;2869;2987;3771;3802;3245;3274;3179;3479;4959;6681;3426;2866;3184;3178;3413;5306;6930;110275
35;T O T A L;T O T A L;Total;5414;5706;6972;7020;7586;6488;5388;5579;5762;7440;5382;7371;6485;5725;5872;6026;7236;6725;7606;6843;6174;6847;8814;9937;6170;8938;7443;6406;6968;9162;10090;215575
