;Classe;Descrição;Sentido;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Total
0;A;Ônibus/Cam de 2 eixos;C;297;361;334;379;226;191;324;367;379;364;357;253;295;357;343;358;382;404;284;280;384;406;458;296;278;173;200;369;381;417;269;10166
1;A;Ônibus/Cam de 2 eixos;D;325;337;400;403;214;176;375;384;385;427;381;254;233;397;394;360;412;423;266;245;425;441;489;413;110;205;170;405;380;410;210;10449
2;A;Ônibus/Cam de 2 eixos;Total;622;698;734;782;440;367;699;751;764;791;738;507;528;754;737;718;794;827;550;525;809;847;947;709;388;378;370;774;761;827;479;20615
3;B;Ônibus/Cam de 3 eixos;C;185;205;213;215;134;80;196;208;228;214;224;165;91;192;196;246;255;241;168;99;189;231;276;141;50;69;81;214;231;226;111;5574
4;B;Ônibus/Cam de 3 eixos;D;198;191;200;201;131;52;216;214;229;242;225;132;68;223;230;207;249;234;133;79;204;220;238;146;31;64;65;195;197;202;85;5301
5;B;Ônibus/Cam de 3 eixos;Total;383;396;413;416;265;132;412;422;457;456;449;297;159;415;426;453;504;475;301;178;393;451;514;287;81;133;146;409;428;428;196;10875
6;C;Caminhão de 4 eixos;C;31;29;40;32;26;14;16;32;36;17;27;26;22;32;28;30;24;23;27;24;31;40;38;24;10;12;11;28;23;17;19;789
7;C;Caminhão de 4 eixos;D;40;32;38;44;22;8;26;30;32;37;37;20;9;35;42;37;23;36;21;11;21;37;38;27;5;13;24;27;25;26;18;841
8;C;Caminhão de 4 eixos;Total;71;61;78;76;48;22;42;62;68;54;64;46;31;67;70;67;47;59;48;35;52;77;76;51;15;25;35;55;48;43;37;1630
9;D;Caminhão de 5 eixos;C;18;24;28;25;22;10;16;27;21;31;20;16;18;23;19;21;13;30;8;8;15;19;13;12;3;4;7;15;25;17;6;534
10;D;Caminhão de 5 eixos;D;22;23;17;24;25;4;16;15;23;23;26;18;16;31;19;19;12;23;23;16;13;22;16;14;7;6;11;9;13;18;8;532
11;D;Caminhão de 5 eixos;Total;40;47;45;49;47;14;32;42;44;54;46;34;34;54;38;40;25;53;31;24;28;41;29;26;10;10;18;24;38;35;14;1066
12;E;Caminhão de 6 eixos;C;25;34;24;28;15;18;11;18;18;21;25;20;15;13;21;26;26;22;12;18;19;18;13;13;4;4;11;13;19;16;4;544
13;E;Caminhão de 6 eixos;D;35;32;38;36;20;15;20;22;42;37;33;40;18;26;34;20;25;33;26;9;16;23;33;20;3;21;10;15;22;21;15;760
14;E;Caminhão de 6 eixos;Total;60;66;62;64;35;33;31;40;60;58;58;60;33;39;55;46;51;55;38;27;35;41;46;33;7;25;21;28;41;37;19;1304
15;F;Caminhão de 7 eixos;C;19;15;11;13;6;6;12;5;7;12;9;7;4;5;9;10;11;11;4;12;6;10;9;3;3;1;6;6;6;8;1;247
16;F;Caminhão de 7 eixos;D;8;10;9;14;11;2;8;14;7;8;7;7;7;7;10;11;9;11;14;5;7;11;10;5;1;3;3;4;13;10;6;252
17;F;Caminhão de 7 eixos;Total;27;25;20;27;17;8;20;19;14;20;16;14;11;12;19;21;20;22;18;17;13;21;19;8;4;4;9;10;19;18;7;499
18;G;Caminhão de 8 eixos;C;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;6
19;G;Caminhão de 8 eixos;D;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;7
20;G;Caminhão de 8 eixos;Total;0;0;0;0;2;0;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;13
21;H;Caminhão de 9 eixos;C;20;11;25;19;14;17;12;6;9;17;15;8;17;16;12;14;18;16;10;14;16;13;10;10;7;1;5;3;6;15;7;383
22;H;Caminhão de 9 eixos;D;15;11;8;11;13;2;5;11;9;9;16;8;4;7;17;4;4;10;6;2;1;7;5;5;5;1;0;0;4;4;3;207
23;H;Caminhão de 9 eixos;Total;35;22;33;30;27;19;17;17;18;26;31;16;21;23;29;18;22;26;16;16;17;20;15;15;12;2;5;3;10;19;10;590
24;I;Passeio;C;1696;1921;1952;2412;2194;3500;2188;1922;2007;2079;2394;2164;3636;2306;1919;2059;2256;2493;2500;3724;2504;2381;2670;2595;2904;3036;5163;2963;2568;3165;3036;80307
25;I;Passeio;D;1875;1966;1911;2543;3115;2860;2178;2083;2011;2031;2652;3224;2832;2306;2064;2199;2402;2841;3440;3124;2523;2626;3643;5462;3091;2855;2855;2366;2417;3489;5389;86373
26;I;Passeio;Total;3571;3887;3863;4955;5309;6360;4366;4005;4018;4110;5046;5388;6468;4612;3983;4258;4658;5334;5940;6848;5027;5007;6313;8057;5995;5891;8018;5329;4985;6654;8425;166680
27;J;Moto;C;453;471;466;511;605;927;742;502;454;423;467;582;742;753;478;437;462;533;553;853;703;510;494;542;619;760;918;680;511;501;611;18263
28;J;Moto;D;371;408;394;615;766;667;382;404;375;373;545;742;572;388;396;378;360;576;745;610;386;445;589;851;556;735;512;382;463;558;1125;16669
29;J;Moto;Total;824;879;860;1126;1371;1594;1124;906;829;796;1012;1324;1314;1141;874;815;822;1109;1298;1463;1089;955;1083;1393;1175;1495;1430;1062;974;1059;1736;34932
30;L;Outros;C;137;155;157;165;127;132;165;144;154;128;149;140;156;138;164;175;166;179;117;136;140;143;167;149;107;90;125;130;139;182;112;4468
31;L;Outros;D;124;122;135;140;113;100;140;119;127;123;139;127;125;124;115;132;140;147;111;120;119;117;146;145;82;107;81;110;112;133;113;3788
32;L;Outros;Total;261;277;292;305;240;232;305;263;281;251;288;267;281;262;279;307;306;326;228;256;259;260;313;294;189;197;206;240;251;315;225;8256
33;T O T A L;T O T A L;C;2881;3226;3250;3799;3370;4895;3682;3231;3313;3307;3687;3381;4996;3836;3189;3376;3613;3952;3684;5169;4007;3772;4148;3785;3985;4150;6527;4421;3909;4564;4176;121281
34;T O T A L;T O T A L;D;3013;3132;3150;4031;4431;3886;3367;3297;3241;3310;4061;4572;3884;3544;3322;3367;3636;4334;4785;4221;3715;3949;5207;7088;3891;4010;3731;3514;3647;4871;6972;125179
35;T O T A L;T O T A L;Total;5894;6358;6400;7830;7801;8781;7049;6528;6554;6617;7748;7953;8880;7380;6511;6743;7249;8286;8469;9390;7722;7721;9355;10873;7876;8160;10258;7935;7556;9435;11148;246460
